,username,tweets,hashtags,retweets,mentions
81,TMManiac,#16YearsOfSethu - Benchmark movie from Dir Bala &amp; Vikram !,#16YearsOfSethu,4,
82,TMManiac,"Last 5 Yrs Big BB's 2010 - #Enthiran , #Singam 2011 - #Mankatha 2012 - #Thuppakki 2013 - #Singam2 , #Arrambam 2014 - #Kaththi",#Enthiran #Singam #Mankatha #Thuppakki #Singam2 #Arrambam #Kaththi,1,
83,TMManiac,Last 5 Yrs Big Grosser 2010 - #Enthiran 2011 - #Mankatha 2012 - #Thuppakki 2013 - #Vishvaroopam 2014 - #Kaththi,#Enthiran #Mankatha #Thuppakki #Vishvaroopam #Kaththi,0,
84,TMManiac,"Last 5 yrs BB's ( High ROI ) 2010- #Paiya ,#BEB ,#Myna 11- #KO, #Kanchana 12- #OKOK, #Kumki 13- #RajaRani #Soodhukavvum &amp; #VVS 14 - #VIP",#Paiya #BEB #Myna #KO #Kanchana #OKOK #Kumki #RajaRani #Soodhukavvum #VVS #VIP,0,
85,TMManiac,"@RahulJefrin maari was decent grosser bro even though WOM was avg, As u said over buildup thaan. Still Last 3 r profitable ventures for him.",,0,@RahulJefrin
86,TMManiac,@RahulJefrin Aen Bro ?? he has very good fan following among next gen actors ! mostly youths ! if it clicks with family audience BB sure !,,0,@RahulJefrin
87,TMManiac,"Hope #ThangaMagan will do MIRACLES like #VIP in Tamil Box office ! It is a Family Entertainer, so if goes good, it will be 5th BB of t Year!",#ThangaMagan #VIP,6,
88,TMManiac,@ArunSreevilas Around 75 Bro ...,,0,@ArunSreevilas
89,TMManiac,Damn cool !! #Theri,#Theri,0,
90,TMManiac,#Eetti - #OruThuli Video @Atharvaamurali verithanam !! https://youtu.be/CQgmDTsMbz0,#Eetti #OruThuli,0,@Atharvaamurali
91,TMManiac,#Vedalam entered All time top 3 Grosser in Kovai last month itself ! Tweeted by Coimbatore Distributor ! Hope the handle is Authentic !,#Vedalam,0,
92,TMManiac,@harilamb,,0,@harilamb
93,TMManiac,@iam_K_A @gkrishnan937 no bro I'm speaking bout gross to date.. Check last 2 weeks report.. It may not be perfect estimate..,,0,@iam_K_A @gkrishnan937
94,TMManiac,@iam_K_A follow rentrak.. Gross may be more than tat.. Check last two weeks gross reported by mojo..,,0,@iam_K_A
95,TMManiac,@CBEBOXOFFICE urumeen ??,,0,
96,TMManiac,@TamilaninCinema athu daughter !!,,0,@TamilaninCinema
97,TMManiac,#ChennaiRainsHelp,#ChennaiRainsHelp,0,
98,TMManiac,#ChennaiRainsHelp,#ChennaiRainsHelp,0,
99,TMManiac,#ChennaiRainsHelp,#ChennaiRainsHelp,0,
100,TMManiac,#ChennaiRainsHelp,#ChennaiRainsHelp,0,
101,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
102,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673539677484425216,#ChennaiMicro,0,
103,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673515219637809152,#ChennaiMicro,0,
104,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
105,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
106,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
107,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673454229760049152,#ChennaiMicro,0,
108,TMManiac,#ChennaiMicro https://twitter.com/Chinmayi/status/673439244220628992,#ChennaiMicro,0,
109,TMManiac,#ChennaiMicro https://twitter.com/KOLLYupdates/status/673438765256323072,#ChennaiMicro,0,
110,TMManiac,"Any trucks or teams taking relief material from Bangalore to #Cuddalore ? If so pls share contact no , need a favour ! #CuddaloreRains",#Cuddalore #CuddaloreRains,4,
111,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673186363156602881,#ChennaiMicro,0,
112,TMManiac,#ChennaiMicro,#ChennaiMicro,1,
113,TMManiac,#ChennaiMicro https://twitter.com/KollywudCinema/status/673180931189047296,#ChennaiMicro,3,
114,TMManiac,@nazrudheenappu hats off bro ! For avoiding fan fight in this crucial time !!,,0,
115,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673174071652302848,#ChennaiMicro,0,
116,TMManiac,#ChennaiMicro https://twitter.com/mediaboxads/status/673166585922629632,#ChennaiMicro,0,
117,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
118,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673157168657506304,#ChennaiMicro,0,
119,TMManiac,#ChennaiRainsHelp,#ChennaiRainsHelp,0,
120,TMManiac,#ChennaiMicro #volunteersforchennai,#ChennaiMicro #volunteersforchennai,0,
121,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
122,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
123,TMManiac,#ChennaiRainsHelp,#ChennaiRainsHelp,0,
124,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673153957745807360,#ChennaiMicro,0,
125,TMManiac,#ChennaiRainsHelp,#ChennaiRainsHelp,1,
126,TMManiac,#ChennaiMicro,#ChennaiMicro,0,
127,TMManiac,#ChennaiMicro https://twitter.com/AidOffered/status/673153252565852160,#ChennaiMicro,0,
128,TMManiac,#ChennaiMicro https://twitter.com/prabhu_sr/status/673150526381404160,#ChennaiMicro,0,
