,username,tweets,hashtags,retweets,mentions
20,Actor_Siddharth,Pouring in Chennai. Please stay indoors. Unless you are in teams do not head out for rescue or relief work. Contact #ChennaiMicro for help.,#ChennaiMicro,1230,
21,Actor_Siddharth,Heavy rain expected today. Tomorrow hopefully it'll move away to other areas in the sea. Hope this is the last of the rain. Pray it stops.,,780,
22,Actor_Siddharth,Please spread the word. Volunteers need to protect themselves. Tetanus shot. Careful of open wounds. Skin diseases are common. Be safe.,,968,
23,Actor_Siddharth,Urgent. Women's undergarments are bring requested in all areas. Sanitary napkins are in good supply. Please donate undergarments in bulk.,,1132,
24,Actor_Siddharth,"Vignesh Sivan, Archana Kalpathi, Chinmayi, Rahul, SA Arvind...holding fort with our 100s of volunteers #chennaimicro tomorrow. Rockstars!",#chennaimicro,369,
25,Actor_Siddharth,Thank you Mukund from Google for setting up out WiFi for our information team. Really helped. #ChennaiMicro,#ChennaiMicro,328,
26,Actor_Siddharth,Thank you @divyaspandana @ActorMadhavan and @RanaDaggubati for support to #ChennaiMicro,#ChennaiMicro,220,@divyaspandana @ActorMadhavan @RanaDaggubati
27,Actor_Siddharth,We have a strict no photo or video rule at #ChennaiMicro But we have an important video message from @RJ_Balaji coming up. Will post.,#ChennaiMicro,542,@RJ_Balaji
28,Actor_Siddharth,Taking 4 truckloads of supplies to #Cuddalore tomorrow. We will be reaching affected areas in the interiors. Hope for the best. #TNflood,#Cuddalore #TNflood,607,
29,Actor_Siddharth,Last truck sent out for the night. Volunteers outdid themselves today. Tomorrow will be better. Thank you for all the support. #ChennaiMicro,#ChennaiMicro,365,
30,Actor_Siddharth,@Udhaystalin thank you for your unbelievable support brother. You and Mahesh have been amazing. God bless you. #ChennaiMicro @RJ_Balaji,#ChennaiMicro,275,@Udhaystalin @RJ_Balaji
31,Actor_Siddharth,Tweet hashtag #cuddaloremicro I will be there the whole day tomorrow with supplies. Mention areas. Requirements. #verified Ngo support.,#cuddaloremicro #verified,1330,
32,Actor_Siddharth,Going to cuddalore tomorrow with a truckload of supplies. #ChennaiMicro large requirement areas info in cuddalore. Ngo support requested.,#ChennaiMicro,1898,
33,Actor_Siddharth,Our stocks are full for the day. And our one working phone is officially dead. Rains have stopped. Thank you for helping #Chennai Last leg!,#Chennai,656,
34,Actor_Siddharth,Heading out now. Will connect at night. Please support #ChennaiMicro and help the relief work. This will be over soon. Pray. @RJ_Balaji,#ChennaiMicro,421,@RJ_Balaji
35,Actor_Siddharth,Use hashtag #ChennaiMicro for verified supplies info. Volunteers are tracking this hashtag. Please share contact no. Post responsibly.,#ChennaiMicro,756,
36,Actor_Siddharth,volunteer teams (10 or more)in velachery mudicheri Urappakkam thiruvathyur tambaram please contact. We will send you supplies. #ChennaiMicro,#ChennaiMicro,463,
37,Actor_Siddharth,"If you have vehicles drop off supplies to big fm office opposite palmgrove hotel. If you don't, we will come and pick up. #ChennaiMicro",#ChennaiMicro,526,
38,Actor_Siddharth,We can handle supplies for 25000 more people. can handle lot sizes upto 5000. Post leads at #ChennaiMicro This will end soon. Stay strong.,#ChennaiMicro,653,
39,Actor_Siddharth,@RJ_Balaji &amp; I are on ground with over a hundred volunteers for food water amenities related rescue. Help. Send supplies. #ChennaiMicro,#ChennaiMicro,306,@RJ_Balaji
40,Actor_Siddharth,There is a lot or false information on social networks. Don't post without verification. It's a nuisance. Tweet responsibly. #ChennaiMicro,#ChennaiMicro,971,
41,Actor_Siddharth,Only packaged food and snacks today PLEASE. Water bottles priority. Also lots of areas still need blankets. Please help. #ChennaiMicro,#ChennaiMicro,887,
42,Actor_Siddharth,My volunteers have Internet access all day today. Thanks @SPIcinemas Please tweet supply availability. We will send teams to pick up.,,397,@SPICinemas
43,Actor_Siddharth,Back in connectivity. We have trucks and vehicles going out all day today. Please use #ChennaiMicro to reach us. We need more supplies.,#ChennaiMicro,383,
44,Actor_Siddharth,@imKBRshanthnu big fm office da. As much as we can get. Water is running short.,,84,@imKBRshanthnu
45,Actor_Siddharth,Need 10000 bottles of water urgently. Please send to Big fm office. We are there. Or tweet #ChennaiMicro we will come pick it up.,#ChennaiMicro,1405,
46,Actor_Siddharth,"It's pouring again. This is going to take longer than we hoped. Please donate. Send supplies, funds. Do not venture out. Be safe. #TNFlood",#TNFlood,777,
47,Actor_Siddharth,@vikiKadarkarai contact number please. I will have it picked up.,,13,
48,Actor_Siddharth,@cpswathi @RJ_Balaji go to big fm office now please. Volunteers are waiting. Please confirm. Give me a contact number.,,15,@cpswathi @RJ_Balaji
49,Actor_Siddharth,All supplies can be dropped off at Big FM office opposite Palm Grove hotel on kodambakkam high road. Donate. Now. #ChennaiMicro #TNflood,#ChennaiMicro #TNflood,747,
50,Actor_Siddharth,V Trust. Union Bank of India. Vadapalani branch. A/c 533102010503421. IFSC UBIN0553310. Swift code - UBININBBICN. MICR-600026033. #SidBalaji,#SidBalaji,747,
51,Actor_Siddharth,"#ChennaiMicroFund contribution A/c Name: V Trust, A/C NO: 533102010503421, UNION BANK OF INDIA, IFSC CODE: UBIN0553310. #ChennaiMicro",#ChennaiMicroFund #ChennaiMicro,2074,
52,Actor_Siddharth,#ChennaiMicro fed 20000 people today. Very proud of our volunteers. They outdid themselves. Tomorrow will be better. We need your support.,#ChennaiMicro,1565,
53,Actor_Siddharth,Back in connectivity. Productive day. Tomorrow will be better. Please donate. Hopefully the worst is over. Let's start rebuilding.,,736,
54,Actor_Siddharth,"#ChennaiMicroFund contribution A/c Name: V Trust, A/C NO: 533102010503421, UNION BANK OF INDIA, IFSC CODE: UBIN0553310. #SiddharthRJbalaji",#ChennaiMicroFund #SiddharthRJbalaji,1852,
55,Actor_Siddharth,Will post account details of a trust soon. If you would like to send donations for relief work done by @RJ_Balaji and me.. Plsss do,,793,@RJ_Balaji
56,Actor_Siddharth,Big fm office opposite palmgrove hotel. Send all relief supplies here. This is base camp for #chennaimicro Blankets water paai priority.,#chennaimicro,1071,
57,Actor_Siddharth,Need a volunteer with vehicle in poondhamallee area urgent. #ChennaiMicro,#ChennaiMicro,958,
58,Actor_Siddharth,10 vehicles doing bedding and food water drops from 3pm. Come on #Chennai we need more. Blankets priority! #ChennaiMicro,#Chennai #ChennaiMicro,747,
59,Actor_Siddharth,Please tag @archanakalpathi for immediate response from #ChennaiMicro and to reach me or @RJ_Balaji She is holding fort till 5pm. #TNflood,#ChennaiMicro #TNflood,571,@archanakalpathi @RJ_Balaji
60,Actor_Siddharth,No network. Putting up #ChennaiMicro volunteer team info. Tweet me. Also call them of they are near you. Food water blankets. Please.,#ChennaiMicro,426,
61,Actor_Siddharth,Volunteer team needed in Anna Nagar. Urgent. Please contact. #ChennaiMicro,#ChennaiMicro,491,
62,Actor_Siddharth,Contact @RJ_Balaji me and our team with hashtag #ChennaiMicro DO NOT RT RANDOMLY. ONLY VERIFIED DONORS AND INFO PLEASE.,#ChennaiMicro,605,@RJ_Balaji
63,Actor_Siddharth,"tried to access saidapet, ashok Nagar and velacheri today... The Navy is doing its best there...We have no access. Will try again tomorrow.",,390,
64,Actor_Siddharth,#Paai is the best bedding for the affected at this time..Women &amp; kids sleeping on wet floors. We need maximum #Paais for them. #ChennaiMicro,#Paai #Paais #ChennaiMicro,698,
65,Actor_Siddharth,Youngsters. In groups of 5-10. Contact us. We have relief work for you to do. Vehicle preferable. Contact us. #ChennaiMicro @RJ_Balaji,#ChennaiMicro,839,@RJ_Balaji
66,Actor_Siddharth,The latest lunch parcels pickup is 1pm (min 200pc) Need 1000 blankets urgently. If you have a team with a vehicle contact me. #ChennaiMicro,#ChennaiMicro,728,
67,Actor_Siddharth,@anbknaga please continue your support tomorrow. Thanks.,,27,@anbknaga
